name,abbreviation,count
"Califonia Justice Court, Humboldt County",caljustcthum  ,0
"Califonia Justice Court, Kern County",caljustctker  ,0
"Califonia Justice Court, Kings County",caljustctkin  ,0
"Califonia Justice Court, Lake County",caljustctlak  ,0
"Califonia Justice Court, Los Angeles County",caljustctla  ,0
"Califonia Justice Court, Madera County",caljustctmad  ,0
"Califonia Justice Court, Mariposa County",caljustctmpa  ,0
"Califonia Justice Court, Mendocino County",caljustctmen  ,0
"Califonia Justice Court, Mono County",caljustctmno  ,0
"Califonia Justice Court, Nevada County",caljustctnev  ,0
"Califonia Justice Court, Placer County",caljustctpla  ,0
"Califonia Justice Court, Plumas County",caljustctplu  ,0
"Califonia Justice Court, San Benito County",caljustctsbt  ,0
"Califonia Justice Court, San Bernardino County",caljustctsbd  ,0
"Califonia Justice Court, Siskiyou County",caljustctsis  ,0
"Califonia Justice Court, Tulare County",caljustcttul  ,0
"Califonia Justice Court, Tuolumne County",caljustcttuo  ,0
California District Court,caldistct  ,148
San Fransisco District Court,sfdistct  ,42
Monterey District Court,montereydistct  ,1
"Placer District Court, California",placerdistct  ,1
Sacramento District Court,sacdistct  ,15
Shasta District Court,shastadistct  ,2
Siskiyou District Court,siskiyoudistct  ,1
Yreka District Court,yrekadistct  ,1
Yuba District Court,yubadistct  ,2
Santa Cruz District Court,santacruzdistct  ,1
Trinity District Court,trinitydistct  ,5
California Unemployment Insurance Appeals Board,caluneinsappbd  ,0
California Office of Administrative Hearings,calofcadmhrg  ,0
Supreme Court of Colorado,colo  ,17704
Colorado Court of Appeals,coloctapp  ,14447
Colorado Industrial Claim Appeals Office,coloworkcompcom  ,0
Colorado Attorney General Reports,coloag  ,686
Supreme Court of Connecticut,conn  ,15449
Connecticut Appellate Court,connappct  ,6728
Connecticut Superior Court,connsuperct  ,49128
Connecticut Compensation Review Board,connworkcompcom  ,0
Supreme Court of Delaware,del  ,12422
Court of Chancery of Delaware,delch  ,3591
Orphan's Court of Delaware,delorphct  ,2
Superior Court of Delaware,delsuperct  ,7131
Delaware Court of Common Pleas,delctcompl  ,276
Delaware Family Court,delfamct  ,203
Court on the Judiciary of Delaware.,deljudct  ,8
District of Columbia Court of Appeals,dc  ,19292
Supreme Court of Florida,fla  ,54875
District Court of Appeal of Florida,fladistctapp  ,190253
Florida First District Court of Appeal,fladistctapp1  ,0
Florida Second District Court of Appeal,fladistctapp2  ,0
Florida Third District Court of Appeal,fladistctapp3  ,0
Florida Fourth District Court of Appeal,fladistctapp4  ,0
Florida Fifth District Court of Appeal,fladistctapp5  ,0
Circuit Court of the 1st Judicial Circuit of Florida,flacirct1  ,0
"Circuit Court of the 1st Judicial Circuit of Florida, Escambia County",flacirct1esc  ,23
"Circuit Court of the 1st Judicial Circuit of Florida, Okaloosa County",flacirct1oka  ,2
"Circuit Court of the 1st Judicial Circuit of Florida, Santa Rosa County",flacirct1san  ,11
"Circuit Court of the 1st Judicial Circuit of Florida, Walton County",flacirct1wal  ,2
Circuit Court of the 2nd Judicial Circuit of Florida,flacirct2  ,0
"Circuit Court of the 2nd Judicial Circuit of Florida, Franklin County",flacirct2fra  ,0
"Circuit Court of the 2nd Judicial Circuit of Florida, Gadsden County",flacirct2gad  ,2
"Circuit Court of the 2nd Judicial Circuit of Florida, Jefferson County",flacirct2jef  ,0
"Circuit Court of the 2nd Judicial Circuit of Florida, Leon County",flacirct2leo  ,78
"Circuit Court of the 2nd Judicial Circuit of Florida, Liberty County",flacirct2lib  ,0
"Circuit Court of the 2nd Judicial Circuit of Florida, Wakulla County",flacirct2wak  ,0
Circuit Court of the 3rd Judicial Circuit of Florida,flacirct3  ,0
"Circuit Court of the 3rd Judicial Circuit of Florida, Columbia County",flacirct3col  ,2
"Circuit Court of the 3rd Judicial Circuit of Florida, Dixie County",flacirct3dix  ,0
"Circuit Court of the 3rd Judicial Circuit of Florida, Hamilton County",flacirct3ham  ,1
"Circuit Court of the 3rd Judicial Circuit of Florida, Lafayette County",flacirct3laf  ,0
"Circuit Court of the 3rd Judicial Circuit of Florida, Madison County",flacirct3mad  ,0
"Circuit Court of the 3rd Judicial Circuit of Florida, Suwannee County",flacirct3suw  ,1
"Circuit Court of the 3rd Judicial Circuit of Florida, Taylor County",flacirct3tay  ,0
Circuit Court of the 4th Judicial Circuit of Florida,flacirct4  ,0
"Circuit Court of the 4th Judicial Circuit of Florida, Clay County",flacirct4cla  ,3
"Circuit Court of the 4th Judicial Circuit of Florida, Duval County",flacirct4duv  ,200
"Circuit Court of the 4th Judicial Circuit of Florida, Nassau County",flacirct4nas  ,5
Circuit Court of the 5th Judicial Circuit of Florida,flacirct5  ,0
"Circuit Court of the 5th Judicial Circuit of Florida, Citrus County",flacirct5cit  ,3
"Circuit Court of the 5th Judicial Circuit of Florida, Hernando County",flacirct5her  ,0
"Circuit Court of the 5th Judicial Circuit of Florida, Lake County",flacirct5lak  ,102
"Circuit Court of the 5th Judicial Circuit of Florida, Marion County",flacirct5mar  ,12
"Circuit Court of the 5th Judicial Circuit of Florida, Sumter County",flacirct5sum  ,6
Circuit Court of the 6th Judicial Circuit of Florida,flacirct6  ,0
"Circuit Court of the 6th Judicial Circuit of Florida, Pasco County",flacirct6pas  ,1
"Circuit Court of the 6th Judicial Circuit of Florida, Pinellas County",flacirct6pin  ,50
Circuit Court of the 7th Judicial Circuit of Florida,flacirct7  ,0
"Circuit Court of the 7th Judicial Circuit of Florida, Flagler County",flacirct7fla  ,3
"Circuit Court of the 7th Judicial Circuit of Florida, Putnam County",flacirct7put  ,0
"Circuit Court of the 7th Judicial Circuit of Florida, St. Johns County",flacirct7stj  ,0
"Circuit Court of the 7th Judicial Circuit of Florida, Volusia County",flacirct7vol  ,11
Circuit Court of the 8th Judicial Circuit of Florida,flacirct8  ,0
"Circuit Court of the 8th Judicial Circuit of Florida, Alachua County",flacirct8ala  ,6
"Circuit Court of the 8th Judicial Circuit of Florida, Baker County",flacirct8bak  ,0
"Circuit Court of the 8th Judicial Circuit of Florida, Bradford County",flacirct8bra  ,2
"Circuit Court of the 8th Judicial Circuit of Florida, Gilchrist County",flacirct8gil  ,0
"Circuit Court of the 8th Judicial Circuit of Florida, Levy County",flacirct8lev  ,1
"Circuit Court of the 8th Judicial Circuit of Florida, Union County",flacirct8uni  ,1
Circuit Court of the 9th Judicial Circuit of Florida,flacirct9  ,0
"Circuit Court of the 9th Judicial Circuit of Florida, Orange County",flacirct9ora  ,14
"Circuit Court of the 9th Judicial Circuit of Florida, Osceola County",flacirct9osc  ,2
Circuit Court of the 10th Judicial Circuit of Florida,flacirct10  ,0
"Circuit Court of the 10th Judicial Circuit of Florida, Hardee County",flacirct10har  ,1
"Circuit Court of the 10th Judicial Circuit of Florida, Highlands County",flacirct10hig  ,1
"Circuit Court of the 10th Judicial Circuit of Florida, Polk County",flacirct10pol  ,13
Circuit Court of the 11th Judicial Circuit of Florida,flacirct11  ,0
"Circuit Court of the 11th Judicial Circuit of Florida, Miami-Dade County",flacirct11mia  ,861
Circuit Court of the 12th Judicial Circuit of Florida,flacirct12  ,0
"Circuit Court of the 12th Judicial Circuit of Florida, De Soto County",flacirct12des  ,1
"Circuit Court of the 12th Judicial Circuit of Florida, Manatee County",flacirct12man  ,4
"Circuit Court of the 12th Judicial Circuit of Florida, Sarasota County",flacirct12sar  ,7
Circuit Court of the 13th Judicial Circuit of Florida,flacirct13  ,0
"Circuit Court of the 13th Judicial Circuit of Florida, Hillsborough County",flacirct13hil  ,50
Circuit Court of the 14th Judicial Circuit of Florida,flacirct14  ,0
"Circuit Court of the 14th Judicial Circuit of Florida, Bay County",flacirct14bay  ,1
"Circuit Court of the 14th Judicial Circuit of Florida, Calhoun County",flacirct14cal  ,1
"Circuit Court of the 14th Judicial Circuit of Florida, Gulf County",flacirct14gul  ,0
"Circuit Court of the 14th Judicial Circuit of Florida, Holmes County",flacirct14hol  ,0
"Circuit Court of the 14th Judicial Circuit of Florida, Jackson County",flacirct14jac  ,0
"Circuit Court of the 14th Judicial Circuit of Florida, Washington County",flacirct14was  ,0
Circuit Court of the 15th Judicial Circuit of Florida,flacirct15  ,0
"Circuit Court of the 15th Judicial Circuit of Florida, Palm Beach County",flacirct15pal  ,206
Circuit Court of the 16th Judicial Circuit of Florida,flacirct16  ,0
"Circuit Court of the 16th Judicial Circuit of Florida, Monroe County",flacirct16mon  ,42
Circuit Court of the 17th Judicial Circuit of Florida,flacirct17  ,0
"Circuit Court of the 17th Judicial Circuit of Florida, Broward County",flacirct17bro  ,103
Circuit Court of the 18th Judicial Circuit of Florida,flacirct18  ,0
"Circuit Court of the 18th Judicial Circuit of Florida, Brevard County",flacirct18bre  ,14
"Circuit Court of the 18th Judicial Circuit of Florida, Seminole County",flacirct18sem  ,6
Circuit Court of the 19th Judicial Circuit of Florida,flacirct19  ,0
"Circuit Court of the 19th Judicial Circuit of Florida, Indian River County",flacirct19ind  ,12
"Circuit Court of the 19th Judicial Circuit of Florida, Martin County",flacirct19mar  ,10
"Circuit Court of the 19th Judicial Circuit of Florida, Okeechobee County",flacirct19oke  ,7
"Circuit Court of the 19th Judicial Circuit of Florida, St. Lucie County",flacirct19stl  ,21
Circuit Court of the 20th Judicial Circuit of Florida,flacirct20  ,0
"Circuit Court of the 20th Judicial Circuit of Florida, Charlotte County",flacirct20cha  ,1
"Circuit Court of the 20th Judicial Circuit of Florida, Collier County",flacirct20col  ,6
"Circuit Court of the 20th Judicial Circuit of Florida, Glades County",flacirct20gla  ,2
"Circuit Court of the 20th Judicial Circuit of Florida, Hendry County",flacirct20hen  ,1
"Circuit Court of the 20th Judicial Circuit of Florida, Lee County",flacirct20lee  ,5
Florida County Courts,flactyct  ,60
Alachua County Court,flactyct1  ,1
Baker County Court,flactyct2  ,0
Bay County Court,flactyct3  ,11
Bradford County Court,flactyct4  ,0
Brevard County Court,flactyct5  ,9
Broward County Court,flactyct6  ,52
Calhoun County Court,flactyct7  ,0
Charlotte County Court,flactyct8  ,0
Citrus County Court,flactyct9  ,0
Clay County Court,flactyct10  ,0
Collier County Court,flactyct11  ,0
Columbia County Court,flactyct12  ,6
De Soto County Court,flactyct13  ,0
Dixie County Court,flactyct14  ,0
Duval County Court,flactyct15  ,7
Escambia County Court,flactyct16  ,0
Flagler County Court,flactyct17  ,1
Franklin County Court,flactyct18  ,6
Gadsden County Court,flactyct19  ,0
Gilchrist County Court,flactyct20  ,0
Glades County Court,flactyct21  ,0
Gulf County Court,flactyct22  ,0
Hamilton County Court,flactyct23  ,1
Hardee County Court,flactyct24  ,0
Hendry County Court,flactyct25  ,0
Hernando County Court,flactyct26  ,0
Highlands County Court,flactyct27  ,0
Hillsborough County Court,flactyct28  ,4
Holmes County Court,flactyct29  ,0
Indian River County Court,flactyct30  ,4
Jackson County Court,flactyct31  ,0
Jefferson County Court,flactyct32  ,10
Lafayette County Court,flactyct33  ,0
Lake County Court,flactyct34  ,2
Lee County Court,flactyct35  ,6
Leon County Court,flactyct36  ,3
Levy County Court,flactyct37  ,0
Liberty County Court,flactyct38  ,0
Madison County Court,flactyct39  ,2
Manatee County Court,flactyct40  ,6
Marion County Court,flactyct41  ,2
Martin County Court,flactyct42  ,0
Miami-Dade County Court,flactyct43  ,50
Monroe County Court,flactyct44  ,18
Nassau County Court,flactyct45  ,0
Okaloosa County Court,flactyct46  ,1
Okeechobee County Court,flactyct47  ,0
Orange County Court,flactyct48  ,66
Osceola County Court,flactyct49  ,4
Palm Beach County Court,flactyct50  ,100
Pasco County Court,flactyct51  ,0
Pinellas County Court,flactyct52  ,9
Polk County Court,flactyct53  ,13
Putnam County Court,flactyct54  ,0
St. Johns County Court,flactyct55  ,0
St. Lucie County Court,flactyct56  ,2
Santa Rosa County Court,flactyct57  ,0
Sarasota County Court,flactyct58  ,4
Seminole County Court,flactyct59  ,1
Sumter County Court,flactyct60  ,0
Suwannee County Court,flactyct61  ,0
Taylor County Court,flactyct62  ,0
Union County Court,flactyct63  ,0
Volusia County Court,flactyct64  ,73
Wakulla County Court,flactyct65  ,0
Walton County Court,flactyct66  ,0
Washington County Court,flactyct67  ,1
Florida's Civil and Criminal Court of Records,flactyctrec  ,0
Brevard County Civil and Criminal Court of Record,flactyctrec5  ,2
Broward County Civil and Criminal Court of Record,flactyctrec7  ,1
Dade County Civil and Criminal Court of Record,flactyctrec6  ,24
Duval County Civil and Criminal Court of Record,flactyctrec1  ,12
Escambia County Civil and Criminal Court of Record,flactyctrec4  ,2
Palm Beach County Civil and Criminal Court of Record,flactyctrec2  ,1
Pinellas County Civil and Criminal Court of Record,flactyctrec3  ,2
Florida Judge's Courts,flajudct  ,0
Broward County Judge's Court,flajudct9  ,1
Charlotte County Judge's Court,flajudct1  ,1
Dade County Judge's Court,flajudct2  ,27
Duval County Judge's Court,flajudct13  ,1
Hamilton County Judge's Court,flajudct3  ,2
Lake County Judge's Court,flajudct8  ,2
Lee County Judge's Court,flajudct5  ,1
Monroe County Judge Court,flajudct11  ,0
Orange County Judge's Court,flajudct4  ,1
Palm Beach County Judge's Court,flajudct12  ,42
Pinellas County Judge's Court,flajudct10  ,3
Sarasota County Judge's Court,flajudct14  ,3
Suwannee County Judge's Court,flajudct7  ,1
Volusia County Judge's Court,flajudct6  ,1
Florida Small Claims Courts,flasmclct  ,0
Broward County Small Claims Court,flasmclct1  ,2
Dade County Small Claims Court,flasmclct3  ,41
Palm Beach County Small Claims Court,flasmclct2  ,1
St. Lucie County Small Claims Court,flasmclct4  ,6
Florida Municipal Courts,flamunict  ,0
Miami Beach Municipal Court,flamunict1  ,2
Miami Municipal Court,flamunict3  ,5
Surfside Municipal Court,flamunict2  ,2
Florida Juvenile and Domestic Relations Court,flajuv  ,0
Palm Beach County Juvenile and Domestic Relations Court,flajuv1  ,7
Florida Public Service Commission,flapubserv  ,278
Florida Industrial Commission,flaindcommn  ,105
Florida Real Estate Commission,flarealestcommn  ,5
Dade County Property Appraisal Adjustment Board,dadectypropbd  ,6
Florida Department of Health and Rehabilitative Services,fladepthrehabil  ,1
Jacksonville Civil Service Board,jaxcivservbd  ,1
State of Florida Department of Environmental Regulation,fladeptenvreg  ,1
State of Florida Department of Revenue,fladeptrev  ,1
State of Florida Division of Administrative Hearings,fladivadminhrg  ,195
Florida Attorney General Reports,flaag  ,3982
Circuit Court for the Judicial Circuits of Florida,flacirct  ,2129
Supreme Court of Georgia,ga  ,72875
Court of Appeals of Georgia,gactapp  ,111261
Georgia Court of Oyer and Terminer,gaoyertermct  ,1
Hawaii Supreme Court,haw  ,8879
Hawaii Intermediate Court of Appeals,hawapp  ,8374
Idaho Supreme Court,idaho  ,17926
Idaho Court of Appeals,idahoctapp  ,9686
Illinois Supreme Court,ill  ,25073
Appellate Court of Illinois,illappct  ,82841
Indiana Supreme Court,ind  ,17216
Indiana Court of Appeals,indctapp  ,51186
Indiana Tax Court,indtc  ,685
Indiana Circuit Court,indcirct  ,1
Supreme Court of Iowa,iowa  ,23722
Court of Appeals of Iowa,iowactapp  ,15305
Supreme Court of Kansas,kan  ,11873
Court of Appeals of Kansas,kanctapp  ,10501
Kansas Attorney General Reports,kanag  ,1193
Kentucky Supreme Court,ky  ,8234
Court of Appeals of Kentucky,kyctapp  ,17152
Court of Appeals of Kentucky (pre-1976),kyctapphigh  ,21644
Supreme Court of Louisiana,la  ,61595
Louisiana Court of Appeal,lactapp  ,73762
Superior Court of Louisiana,lasuperct  ,1
Louisiana Attorney General Reports,laag  ,7302
Supreme Judicial Court of Maine,me  ,29040
Court of Appeals of Maryland,md  ,23036
Court of Special Appeals of Maryland,mdctspecapp  ,8750
Maryland Attorney General Reports,mdag  ,366
Massachusetts Supreme Judicial Court,mass  ,9646
Massachusetts Appeals Court,massappct  ,3750
Massachusetts Superior Court,masssuperct  ,0
Massachusetts District Court,massdistct  ,0
Boston Municipal Court,massdistctbos  ,3
Massachusetts Land Court,masslandct  ,0
Massachusetts Department of Industrial Accidents,maworkcompcom  ,0
Michigan Supreme Court,mich  ,56475
Michigan Court of Appeals,michctapp  ,37377
Supreme Court of Minnesota,minn  ,22077
Court of Appeals of Minnesota,minnctapp  ,13310
Minnesota Attorney General Reports,minnag  ,101
Mississippi Supreme Court,miss  ,28842
Court of Appeals of Mississippi,missctapp  ,9734
Supreme Court of Missouri,mo  ,24025
Missouri Court of Appeals,moctapp  ,83871
Missouri Attorney General Reports,moag  ,2561
Montana Supreme Court,mont  ,34139
Montana Tax Appeal Board,monttc  ,2
Montana Attorney General Reports,montag  ,0
Nebraska Supreme Court,neb  ,37236
Nebraska Court of Appeals,nebctapp  ,5022
Nebraska Attorney General Reports,nebag  ,2615
Nevada Supreme Court,nev  ,25088
Supreme Court of New Hampshire,nh  ,11744
Supreme Court of New Jersey,nj  ,22964
New Jersey Superior Court,njsuperctappdiv  ,33400
New Jersey Tax Court,njtaxct  ,11
New Jersey Court of Chancery,njch  ,3309
New Mexico Supreme Court,nm  ,10253
New Mexico Court of Appeals,nmctapp  ,11057
New York Court of Appeals,ny  ,123651
New York Court of Assizes,nyctassizes  ,8
New York Court on the Judiciary,nyjudct  ,11
Court for the Trial of Impeachments and Correction of Errors,nycterr  ,1029
New York Court of General Session of the Peace,nygensess  ,593
"New York Court of General Sessions, Lewis County",nygensesslewis  ,0
Commission of Appeals,nycommnapp  ,94
Constitutional Court of New York,nyconct  ,2
Court Of Arbitration Of The Chamber Of Commerce Of New York,nyarbct  ,1
New York State Assembly,nystateassembly  ,70
New York Executive Chamber,nyexecchamber  ,4
New York Marine Court,nymarct  ,211
Court Of Oyer And Terminer New York,nyoytermct  ,173
"Oyer and Terminer, New York County",nyoytermctnyc  ,1
"Oyer and Terminer, Queens County",nyoyqueens  ,1
"Oyer and Terminer, Washington County",nyoytermctwash  ,1
"Oyer and Terminer, Rensselaer County",nyoytermctren  ,1
"Oyer and Terminer, Albany County",nyoytermctalb  ,7
New York Court of Chancery,nychanct  ,3813
Saratoga Chancery Court,nychanctsara  ,429
New York Circuit Court,nycirct  ,98
"New York Circuit Court, Albany County",nyciralbanycty  ,1
"New York Circuit Court, Columbia County",nycircolcty  ,2
"New York Circuit Court, Delaware County",nycirdelcty  ,1
"New York Circuit Court, Dutchess County",nycirdutchcty  ,1
"New York Circuit Court, Kings County",nycirkingscty  ,2
"New York Circuit Court, Monroe County",nycirmonroecty  ,0
"New York Circuit Court, Oneida County",nycironeidacty  ,1
"New York Circuit Court, Oswego County",nyciroswegocty  ,0
New York Court of Sessions,nysessct  ,26
"Court of Sessions, New York County",nysessctnyc  ,1
"New York Court of Session, Albany County",nysessctalbany  ,2
"New York Court of Session, Chautauqua County",nysessctchauta  ,1
"New York Court of Sessions, Genesee County",nysessctgenesee  ,1
"New York Court of Sessions, Lewis County",nysessctlewis  ,1
"New York Court of Sessions, Orange County",nysessctorange  ,1
"New York Court of Sessions, Queens County",nysessctqueens  ,3
"New York Court of Sessions, Rensselaer County",nysessctren  ,1
"New York Court of Sessions, Rockland County",nysessctrock  ,1
"New York Court of Sessions, Ulster County",nysessctulster  ,1
New York Court of Special Session,nyspecsessct  ,461
Albany Court of Special Sessions,nyalbspecsess  ,2
New York City Court of Special Sessions,nynycspecsess  ,3
Yonkers Court of Special Sessions,nyspecsessyonk  ,1
Appellate Division of the Supreme Court of the State of New York,nyappdiv  ,723187
Appellate Terms of the Supreme Court of New York,nyappterm  ,17978
New York Supreme Court,nysupct  ,114133
"New York Supreme Court, Albany County",nysupctalbany  ,0
"New York Supreme Court, Allegany County",nysupctalgny  ,0
"New York Supreme Court, Bronx County",nysupctbrnx  ,0
"New York Supreme Court, Broome County",nysupctbrm  ,0
"New York Supreme Court, Cattaraugus County",nysupctctrgs  ,0
"New York Supreme Court, Cayuga County",nysupctcayuga  ,0
"New York Supreme Court, Chautauqua County",nysupctchtq  ,0
"New York Supreme Court, Chemung County",nysupctchmng  ,0
"New York Supreme Court, Chenango County",nysupctchenango  ,0
"New York Supreme Court, Clinton County",nysupctclinton  ,0
"New York Supreme Court, Columbia County",nysupctclmb  ,0
"New York Supreme Court, Cortland County",nysupctcrtlnd  ,0
"New York Supreme Court, Delaware County",nysupctdlwr  ,0
"New York Supreme Court, Dutchess County",nysupctdtchss  ,0
"New York Supreme Court, Erie County",nysupcterie  ,0
"New York Supreme Court, Essex County",nysupctessex  ,0
"New York Supreme Court, Franklin County",nysupctfrnkln  ,0
"New York Supreme Court, Fulton County",nysupctfltn  ,0
"New York Supreme Court, Genesee County",nysupctgnss  ,0
"New York Supreme Court, Greene County",nysupctgrn  ,0
"New York Supreme Court, Herkimer County",nysupcthrkmr  ,0
"New York Supreme Court, Jefferson County",nysupctjffrsn  ,0
"New York Supreme Court, Kings County",nysupctkings  ,0
"New York Supreme Court, Lewis County",nysupctlewis  ,0
"New York Supreme Court, Livingston County",nysupctlvngstn  ,0
"New York Supreme Court, Madison County",nysupctmdsn  ,0
"New York Supreme Court, Monroe County",nysupctmonroe  ,0
"New York Supreme Court, Montgomery County",nysupctmntgmry  ,0
"New York Supreme Court, Nassau County",nysupctnss  ,0
"New York Supreme Court, New York County",nysupctnewyork  ,0
"New York Supreme Court, Niagara County",nysupctniagra  ,0
"New York Supreme Court, Oneida County",nysupctoneida  ,0
"New York Supreme Court, Onondaga County",nysupctnndg  ,0
"New York Supreme Court, Ontario County",nysupctntr  ,0
"New York Supreme Court, Orange County",nysupctorange  ,0
"New York Supreme Court, Orleans County",nysupctrlns  ,0
"New York Supreme Court, Oswego County",nysupctswg  ,0
"New York Supreme Court, Otsego County",nysupctostego  ,0
"New York Supreme Court, Putnam County",nysupctptnm  ,0
"New York Supreme Court, Queens County",nysupctqueens  ,0
"New York Supreme Court, Rensselaer County",nysupctren  ,0
"New York Supreme Court, Richmond County",nysupctrichmond  ,0
"New York Supreme Court, Rockland County",nysupctrcklnd  ,0
"New York Supreme Court, Saratoga County",nysupctsrtg  ,0
"New York Supreme Court, Schenectady County",nysupctschnec  ,0
"New York Supreme Court, Schoharie County",nysupctscho  ,0
"New York Supreme Court, Schuyler County",nysupctschuy  ,0
"New York Supreme Court, Seneca County",nysupctsnc  ,0
"New York Supreme Court, St. Lawrence County",nysupctsntlw  ,0
"New York Supreme Court, Steuben County",nysupctstbn  ,0
"New York Supreme Court, Suffolk County",nysuprctfflk  ,0
"New York Supreme Court, Sullivan County",nysupctsllvn  ,0
"New York Supreme Court, Tioga County",nysupcttioga  ,0
"New York Supreme Court, Tompkins County",nysupcttmpkns  ,0
"New York Supreme Court, Ulster County",nysupctulster  ,0
"New York Supreme Court, Warren County",nysupctwarren  ,0
"New York Supreme Court, Washington County",nysupctwash  ,0
"New York Supreme Court, Wayne County",nysupctwayne  ,0
"New York Supreme Court, Westchester County",nysupctwster  ,0
"New York Supreme Court, Wyoming County",nysupctwyom  ,0
"New York Supreme Court, Yates County",nysupctyates  ,0
New York County Courts,nycountyct  ,5059
"New York County Court, Albany County",nyalbanyctyct  ,0
"New York County Court, Allegany County",nyalleganyctyct  ,1
Bronx County Court,nybronxctyct  ,3
"New York County Court, Broome County",nybroomectyct  ,7
"New York County Court, Cattaraugus County",nycattctyct  ,3
"New York County Court, Cayuga County ",nycayugactyct  ,4
"New York County Court, Chautauqua County",nychautctyct  ,3
"New York County Court, Chemung County",nychemungctyct  ,2
"New York County Court, Chenango County",nychenangoctyct  ,8
"New York County Court, Clinton County",nyclintonctyct  ,4
"New York County Court, Columbia County",nycolumctyct  ,0
"New York County Court, Cortland County",nycortlandctyct  ,1
"New York County Court, Delaware County",nydelawarectyct  ,4
"New York County Court, Dutchess County",nydutchessctyct  ,5
"New York County Court, Erie County",nyeriectyct  ,21
"New York County Court, Essex County",nyessexctyct  ,0
"New York County Court, Franklin County",nyfrankctyct  ,0
"New York County Court, Fulton County",nyfultonctyct  ,2
"New York County Court, Genesee County",nygenessctyct  ,0
"New York County Court, Greene County",nygreenectyct  ,0
"New York County Court, Hamilton County",nyhamilctyct  ,0
"New York County Court, Herkimer County",nyherkimerctyct  ,7
"New York County Court, Jefferson County",nyjeffctyct  ,0
"New York County Court, Kings County",nykingsctyct  ,36
"New York County Court, Lewis County",nylewisctyct  ,2
"New York County Court, Livingston County",nylivingstctyct  ,3
"New York County Court, Montgomery County",nymontctyct  ,7
"New York County Court, Madison County",nymadctyct  ,0
"New York County Court, Monroe County",nymonroectyct  ,0
"New York County Court, Nassau County",nynassctyct  ,0
"New York County Court, Niagara County",nyniagaractyct  ,8
"New York County Court, Onieda County",nyoniedactyct  ,1
"New York County Court, Orange County",nyorangectyct  ,0
Oneida County Court,nyoneidactyct  ,25
"New York County Court, Onondaga County",nyonondagactyct  ,3
"New York County Court, Ontario County",nyontarioctyct  ,4
"New York County Court, Orleans County",nyorleansctyct  ,4
"New York County Court, Oswego County",nyoswegoctyct  ,1
"New York County Court, Otsego County",nyotsegoctyct  ,3
"New York County Court, Putnam County",nyputnamctyct  ,10
"New York County Court, Queens County",nyqueensctyct  ,18
"New York County Court, Rensselaer County",nyrensctyct  ,9
"New York County Court, Richmond County",nyrichmondctyct  ,0
"New York County Court, Rockland County",nyrocklandctyct  ,5
"New York County Court, Saratoga County",nysaratogactyct  ,5
"New York County Court, Schenectady County",nyschenctyct  ,6
"New York County Court, Schoharie County",nyschoharctyct  ,1
"New York County Court, Schuyler County",nyschuylerctyct  ,2
"New York County Court, Seneca County",nysenctyct  ,0
"New York County Court, St. Lawrence County",nystlawctyct  ,2
"New York County Court, Steuben County",nysteubenctyct  ,2
"New York County Court, Suffolk County",nysuffolkctyct  ,6
"New York County Court, Sullivan County",nysullivanctyct  ,5
"New York County Court, Tioga County",nytiogactyct  ,3
"New York County Court, Tompkins County",nytompkinsctyct  ,2
"New York County Court, Ulster County",nyulsterctyct  ,9
"New York County Court, Warren County",nywarrenctyct  ,0
"New York County Court, Washington County",nywashctyct  ,0
"New York County Court, Wayne County",nywaynectyct  ,3
"New York County Court, Westchester County",nywestchcty  ,16
"New York County Court, Wyoming County",nywyomingctyct  ,1
"New York County Court, Yates County",nyyatesctyct  ,6
New York District Court,nydistct  ,282
Nassau County District Court,nydistctnassau  ,646
Suffolk County District Court,nydistctsuffolk  ,332
New York Justice Court,nyjustct  ,59
Albany City Police Court,nyalbanyjustct  ,3
Amherst Town Court,nyamherstjustct  ,11
Amsterdam Police Court,nyjustctamsterd  ,1
Arcadia Justice Court,nyjustctarcadia  ,7
Justice Court of Village of Ardsley,nyjustctardsley  ,3
Aurora Justice Court,nyjustctaurora  ,1
Justice Court of Village of Blasdell,nyjustctblasdel  ,1
Justice Court of Village of Briarcliff Manor,nyjustctbriarcl  ,1
Justice Court of Town of Brighton,nyjustctbrighto  ,16
Justice Court of Village of Bronxville,nyjustctbronxvi  ,1
Camillus Justice Court,nyjustctcamillu  ,1
Canaan Justice Court,nyjustctcanaan  ,2
Canton Justice Court,nyjustctcanton  ,2
Justice Court of Town of Carmel,nyjustctcarmel  ,1
Justice Court of Village of Cayuga Heights,nyjustctcayugah  ,3
Justice Court of Town of Chatam,nyjustctchatam  ,1
Cheektowaga Justice Court,nyjustctcheekto  ,2
Chenango Justice Court,nyjustctchenang  ,1
Chili Justice Court,nyjustctchili  ,2
Clarkstown Justice Court,nyjustctclarks  ,10
Clifton Park Justice Court,nyjustctclifton  ,2
Cohoes Police Court,nyjustctcohoes  ,1
Colonie Justice Court,nycoloniejustct  ,9
Cornwall Justice Court,nyjustctcornwal  ,1
Cortlandt Town Court,nyjustctcortlan  ,1
Depew Justice Court,nyjustctdepew  ,1
DeWitt Justice Court,nyjustctdewitt  ,2
Dickinson Justice Court,nyjustctdickins  ,1
Dix Town Court,nyjustctdix  ,3
Dobbs Ferry Justice Court,nyjustctdobbsfe  ,1
East Rochester Justice Court,nyjustcteastroc  ,1
